IsAnomaly,TimeUS,Type,Volt,Curr,Roll,Pitch,Yaw,C1,C2,C3,C4,VibeX,VibeY,VibeZ
0,8539083,BAT,12.600000381469727,0.0,,,,,,,,,,
0,8539083,ATT,,,0.012068123556673527,0.0012377346865832806,105.00791931152344,,,,,,,
0,8539083,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,8539083,VIBE,,,,,,,,,,0.002884827321395278,0.0027822540141642094,0.003001663601025939
0,8539083,VIBE,,,,,,,,,,0.005306826904416084,0.005337130278348923,0.005953123327344656
0,8639043,BAT,12.600000381469727,0.0,,,,,,,,,,
0,8639043,ATT,,,0.012219971977174282,0.0008416589698754251,105.00849914550781,,,,,,,
0,8639043,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,8639043,VIBE,,,,,,,,,,0.002789777936413884,0.0025828008074313402,0.0029175602830946445
0,8639043,VIBE,,,,,,,,,,0.005588368512690067,0.005562275648117065,0.005896985065191984
0,8739836,BAT,12.600000381469727,0.0,,,,,,,,,,
0,8739836,ATT,,,0.0122944675385952,0.0006255716434679925,105.00877380371094,,,,,,,
0,8739836,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,8739836,VIBE,,,,,,,,,,0.00269892904907465,0.002769193612039089,0.0026359001640230417
0,8739836,VIBE,,,,,,,,,,0.005590768065303564,0.005523454863578081,0.005693585611879826
0,8839796,BAT,12.600000381469727,0.0,,,,,,,,,,
0,8839796,ATT,,,0.01216177549213171,0.00018026516772806644,105.00911712646484,,,,,,,
0,8839796,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,8839796,VIBE,,,,,,,,,,0.0028981375508010387,0.0029402102809399366,0.002661202335730195
0,8839796,VIBE,,,,,,,,,,0.0055860914289951324,0.005666462704539299,0.00593059416860342
0,8939756,BAT,12.600000381469727,0.0,,,,,,,,,,
0,8939756,ATT,,,0.011853672564029694,-0.00018861261196434498,105.0095443725586,,,,,,,
0,8939756,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,8939756,VIBE,,,,,,,,,,0.002637391211465001,0.002848295262083411,0.00267993682064116
0,8939756,VIBE,,,,,,,,,,0.005810814443975687,0.005734422244131565,0.005477394443005323
0,9039716,BAT,12.600000381469727,0.0,,,,,,,,,,
0,9039716,ATT,,,0.011758876033127308,-0.0005020076641812921,105.01021575927734,,,,,,,
0,9039716,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,9039716,VIBE,,,,,,,,,,0.0027258405461907387,0.002972780494019389,0.0029017766937613487
0,9039716,VIBE,,,,,,,,,,0.005751328077167273,0.006055897567421198,0.0053125531412661076
0,9139676,BAT,12.600000381469727,0.0,,,,,,,,,,
0,9139676,ATT,,,0.011413095518946648,-0.0007845271611586213,105.01058197021484,,,,,,,
0,9139676,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,9139676,VIBE,,,,,,,,,,0.002591405063867569,0.00307943276129663,0.00286347814835608
0,9139676,VIBE,,,,,,,,,,0.005259150639176369,0.005520235281437635,0.005290823522955179
0,9239636,BAT,12.600000381469727,0.0,,,,,,,,,,
0,9239636,ATT,,,0.011159623041749,-0.0010578208602964878,105.01093292236328,,,,,,,
0,9239636,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,9239636,VIBE,,,,,,,,,,0.0028069589752703905,0.002660596976056695,0.002854719292372465
0,9239636,VIBE,,,,,,,,,,0.0054591139778494835,0.005825672764331102,0.00567398639395833
0,9339596,BAT,12.600000381469727,0.0,,,,,,,,,,
0,9339596,ATT,,,0.011098086833953857,-0.00101744185667485,105.01132202148438,,,,,,,
0,9339596,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,9339596,VIBE,,,,,,,,,,0.00292309676297009,0.002851600991562009,0.0031338173430413008
0,9339596,VIBE,,,,,,,,,,0.005895331967622042,0.005487449001520872,0.005702565424144268
0,9439556,BAT,12.600000381469727,0.0,,,,,,,,,,
0,9439556,ATT,,,0.011003918945789337,-0.0013559629442170262,105.01168823242188,,,,,,,
0,9439556,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,9439556,VIBE,,,,,,,,,,0.002847234485670924,0.0029075490310788155,0.00288578262552619
0,9439556,VIBE,,,,,,,,,,0.005544953979551792,0.00580547284334898,0.005609582178294659
0,9539516,BAT,12.600000381469727,0.0,,,,,,,,,,
0,9539516,ATT,,,0.010916801169514656,-0.0016718987608328462,105.01213836669922,,,,,,,
0,9539516,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,9539516,VIBE,,,,,,,,,,0.0028580029029399157,0.002608408685773611,0.002714215312153101
0,9539516,VIBE,,,,,,,,,,0.0052380929701030254,0.0055139255709946156,0.005743164103478193
0,9639476,BAT,12.600000381469727,0.0,,,,,,,,,,
0,9639476,ATT,,,0.0107324393466115,-0.0018781666876748204,105.01253509521484,,,,,,,
0,9639476,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,9639476,VIBE,,,,,,,,,,0.0027632364071905613,0.0026648391503840685,0.002984143327921629
0,9639476,VIBE,,,,,,,,,,0.0052579957991838455,0.005585342179983854,0.005438376683741808
0,9739436,BAT,12.600000381469727,0.0,,,,,,,,,,
0,9739436,ATT,,,0.01061299443244934,-0.002115334616973996,105.01296997070312,,,,,,,
0,9739436,RCOU,,,,,,1000.0,1000.0,1000.0,1000.0,,,
0,9739436,VIBE,,,,,,,,,,0.002829238772392273,0.0026721854228526354,0.002948226174339652
0,9739436,VIBE,,,,,,,,,,0.005491537973284721,0.00609642593190074,0.005515992641448975
0,9839396,BAT,12.600000381469727,0.0,,,,,,,,,,
